league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,season_start,stat_type
ENG-Premier League,2022/23,Aston Villa,Leander Dendoncker,BEL,MF,27,1995,20,697,35,20.4,7.7,7,75,2,13,13,7,1.55,13,11,2,0.26,0.16,2022,playing_time
ENG-Premier League,2022/23,Aston Villa,Leon Bailey,JAM,"FW,MF",24,1997,33,1967,60,57.5,21.9,26,70,4,7,21,0,1.61,27,32,-5,-0.23,-0.85,2022,playing_time
ENG-Premier League,2022/23,Aston Villa,Lucas Digne,FRA,DF,29,1993,28,1502,54,43.9,16.7,18,75,10,10,15,4,1.46,22,25,-3,-0.18,-0.56,2022,playing_time
ENG-Premier League,2022/23,Aston Villa,Ludwig Augustinsson,SWE,DF,28,1994,3,77,26,2.3,0.9,1,44,0,2,17,9,1.67,1,0,1,1.17,1.06,2022,playing_time
ENG-Premier League,2022/23,Aston Villa,Marvelous Nakamba,ZIM,MF,28,1994,0,,,,,0,,0,0,,9,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Aston Villa,Matty Cash,POL,DF,24,1997,26,1820,70,53.2,20.2,20,85,15,6,21,1,1.46,28,29,-1,-0.05,-0.39,2022,playing_time
ENG-Premier League,2022/23,Aston Villa,Morgan Sanson,FRA,MF,27,1994,2,11,6,0.3,0.1,0,,0,2,6,11,3.0,0,1,-1,-8.18,-8.34,2022,playing_time
ENG-Premier League,2022/23,Aston Villa,Oliwier Zych,POL,GK,18,2004,0,,,,,0,,0,0,,2,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Aston Villa,Ollie Watkins,ENG,FW,26,1995,37,3127,85,91.4,34.7,36,86,26,1,25,0,1.57,47,40,7,0.2,0.82,2022,playing_time
ENG-Premier League,2022/23,Aston Villa,Philippe Coutinho,BRA,"FW,MF",30,1992,20,788,39,23.0,8.8,7,72,1,13,22,2,1.1,9,9,0,0.0,-0.17,2022,playing_time
ENG-Premier League,2022/23,Aston Villa,Robin Olsen,SWE,GK,32,1990,4,281,70,8.2,3.1,2,90,2,2,51,30,1.0,4,8,-4,-1.28,-1.54,2022,playing_time
ENG-Premier League,2022/23,Aston Villa,Seb Revan,ENG,"DF,MF",19,2003,0,,,,,0,,0,0,,7,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Aston Villa,Sil Swinkels,NED,DF,18,2004,0,,,,,0,,0,0,,1,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Aston Villa,Tim Iroegbunam,ENG,MF,19,2003,0,,,,,0,,0,0,,2,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Aston Villa,Tommi O'Reilly,ENG,MF,18,2003,0,,,,,0,,0,0,,2,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Aston Villa,Travis Patterson,ENG,DF,16,2005,0,,,,,0,,0,0,,3,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Aston Villa,Tyrone Mings,ENG,DF,29,1993,35,3150,90,92.1,35.0,35,90,35,0,,1,1.74,50,40,10,0.29,1.95,2022,playing_time
ENG-Premier League,2022/23,Aston Villa,Viljami Sinisalo,FIN,GK,20,2001,0,,,,,0,,0,0,,15,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Aston Villa,Álex Moreno,ESP,DF,29,1993,19,1329,70,38.9,14.8,14,81,5,5,40,0,1.89,23,10,13,0.88,1.22,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Adam Smith,ENG,DF,31,1991,37,2943,80,86.1,32.7,34,84,25,3,29,0,1.05,34,59,-25,-0.76,0.93,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Antoine Semenyo,GHA,"MF,FW",22,2000,11,258,23,7.5,2.9,2,77,1,9,12,4,1.45,3,6,-3,-1.05,-0.16,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Ben Greenwood,IRL,DF,19,2003,0,,,,,0,,0,0,,1,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Ben Pearson,ENG,MF,27,1995,7,286,41,8.4,3.2,3,69,1,4,20,7,1.0,1,10,-9,-2.83,-2.11,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Cameron Plain,ENG,GK,20,2001,0,,,,,0,,0,0,,6,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Chris Mepham,WAL,DF,24,1997,26,2199,85,64.3,24.4,24,90,23,2,24,7,1.0,23,52,-29,-1.19,-0.82,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Christian Saydee,LBR,"FW,MF",20,2002,0,,,,,0,,0,0,,1,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Dango Ouattara,BFA,MF,20,2002,19,1241,65,36.3,13.8,15,78,7,4,17,0,1.21,13,23,-10,-0.73,0.27,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Daniel Adu-Adjei,ENG,FW,17,2005,0,,,,,0,,0,0,,3,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Darren Randolph,IRL,GK,35,1987,0,,,,,0,,0,0,,3,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,David Brooks,WAL,MF,25,1997,6,173,29,5.1,1.9,2,55,0,4,16,5,0.0,0,4,-4,-2.08,-1.25,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Dominic Sadi,ENG,MF,18,2003,0,,,,,0,,0,0,,4,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Dominic Solanke,ENG,FW,24,1997,33,2860,87,83.6,31.8,32,88,19,1,45,0,1.15,35,52,-17,-0.53,2.2,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Emiliano Marcondes,DEN,"FW,MF",27,1995,1,9,9,0.3,0.1,0,,0,1,9,9,0.0,0,1,-1,-10.0,-9.13,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Euan Pollock,ENG,FW,19,2002,0,,,,,0,,0,0,,3,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Hamed Junior Traorè,CIV,MF,22,2000,7,427,61,12.5,4.7,5,75,1,2,26,0,1.0,3,8,-5,-1.05,-0.18,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Illia Zabarnyi,UKR,DF,19,2002,5,299,60,8.7,3.3,3,90,3,2,15,6,0.6,0,5,-5,-1.51,-0.67,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Jack Stacey,ENG,"DF,MF",26,1996,10,299,30,8.7,3.3,3,75,2,7,11,17,1.1,1,10,-9,-2.71,-1.99,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Jack Stephens,ENG,DF,28,1994,15,1173,78,34.3,13.0,13,90,13,2,2,15,1.4,16,22,-6,-0.46,0.66,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Jaidon Anthony,ENG,MF,22,1999,30,1257,42,36.8,14.0,11,76,4,19,22,8,0.97,9,29,-20,-1.43,-0.85,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Jamal Lowe,JAM,"FW,MF",28,1994,2,12,6,0.4,0.1,0,,0,2,6,8,0.0,0,0,0,0.0,0.9,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,James Hill,ENG,DF,20,2002,0,,,,,0,,0,0,,6,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Jefferson Lerma,COL,MF,27,1994,37,3252,88,95.1,36.1,37,88,33,0,,0,1.05,34,67,-33,-0.91,-0.38,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Joe Rothwell,ENG,MF,27,1995,20,1016,51,29.7,11.3,12,71,3,8,20,7,1.1,16,15,1,0.09,1.4,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Jordan Zemura,ZIM,"DF,MF",22,1999,19,1454,77,42.5,16.2,17,83,12,2,23,5,0.95,14,31,-17,-1.05,-0.27,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Junior Stanislas,ENG,MF,32,1989,4,61,15,1.8,0.7,0,,0,4,15,5,0.75,0,1,-1,-1.48,-0.59,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Kieffer Moore,WAL,FW,29,1992,27,1279,47,37.4,14.2,12,86,8,15,17,8,0.85,11,33,-22,-1.55,-1.04,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Lewis Cook,ENG,MF,25,1997,28,1720,61,50.3,19.1,18,84,14,10,21,5,0.89,18,39,-21,-1.1,-0.41,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Lloyd Kelly,ENG,DF,23,1998,23,2040,89,59.6,22.7,23,89,22,0,,0,1.13,19,38,-19,-0.84,0.14,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Marcos Senesi,ARG,DF,25,1997,31,2491,80,72.8,27.7,29,85,22,2,12,5,0.9,28,55,-27,-0.98,-0.3,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Marcus Tavernier,ENG,MF,23,1999,23,1743,76,51.0,19.4,19,83,10,4,40,0,1.39,25,37,-12,-0.62,0.56,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Mark Travers,IRL,GK,23,1999,12,1035,86,30.3,11.5,11,90,11,1,45,26,0.5,10,32,-22,-1.91,-1.46,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Matías Viña,URU,"DF,MF",24,1997,12,458,38,13.4,5.1,5,70,2,7,16,4,1.25,5,10,-5,-0.98,-0.1,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Maxwell Wellings,ENG,DF,17,2005,0,,,,,0,,0,0,,1,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Michael DaCosta,ESP,FW,17,2005,0,,,,,0,,0,0,,1,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Neto,BRA,GK,33,1989,27,2385,88,69.7,26.5,27,88,26,0,,3,1.22,27,39,-12,-0.45,1.46,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Owen Bevan,WAL,DF,18,2003,1,9,9,0.3,0.1,0,,0,1,9,0,0.0,0,1,-1,-10.0,-9.13,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Philip Billing,DEN,"MF,FW",26,1996,36,2764,77,80.8,30.7,34,79,11,2,36,0,1.06,32,53,-21,-0.68,1.1,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Ryan Christie,SCO,MF,27,1995,32,1834,57,53.6,20.4,22,74,5,10,20,6,1.09,19,36,-17,-0.83,0.13,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Ryan Fredericks,ENG,DF,29,1992,12,533,44,15.6,5.9,5,74,1,7,23,2,1.0,11,11,0,0.0,1.06,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Siriki Dembélé,CIV,"FW,MF",25,1996,6,110,18,3.2,1.2,0,,0,6,18,9,0.17,0,2,-2,-1.64,-0.77,2022,playing_time
ENG-Premier League,2022/23,Bournemouth,Will Dennis,ENG,GK,22,2000,0,,,,,0,,0,0,,1,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Brentford,Aaron Hickey,SCO,DF,20,2002,26,1916,74,56.0,21.3,23,81,8,3,16,2,1.46,33,30,3,0.14,-0.4,2022,playing_time
ENG-Premier League,2022/23,Brentford,Ben Mee,ENG,DF,32,1989,37,3269,88,95.6,36.3,37,88,34,0,,1,1.59,56,40,16,0.44,2.82,2022,playing_time
ENG-Premier League,2022/23,Brentford,Bryan Mbeumo,CMR,FW,22,1999,38,2906,76,85.0,32.3,36,79,10,2,24,0,1.55,50,39,11,0.34,0.17,2022,playing_time
ENG-Premier League,2022/23,Brentford,Charlie Goode,ENG,DF,26,1995,0,,,,,0,,0,0,,1,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Brentford,Christian Nørgaard,DEN,MF,28,1994,22,1763,80,51.5,19.6,21,83,12,1,29,0,1.5,31,23,8,0.41,0.19,2022,playing_time
ENG-Premier League,2022/23,Brentford,David Raya,ESP,GK,26,1995,38,3420,90,100.0,38.0,38,90,38,0,,0,1.55,58,46,12,0.32,,2022,playing_time
ENG-Premier League,2022/23,Brentford,Ethan Pinnock,JAM,DF,29,1993,30,2700,90,78.9,30.0,30,90,30,0,,0,1.63,43,34,9,0.3,-0.07,2022,playing_time
ENG-Premier League,2022/23,Brentford,Finley Stevens,WAL,DF,19,2003,0,,,,,0,,0,0,,9,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Brentford,Frank Onyeka,NGA,MF,24,1998,21,848,40,24.8,9.4,8,65,0,13,25,6,1.71,12,11,1,0.11,-0.28,2022,playing_time
ENG-Premier League,2022/23,Brentford,Halil Dervişoğlu,TUR,FW,22,1999,1,8,8,0.2,0.1,0,,0,1,8,1,1.0,1,0,1,11.25,10.96,2022,playing_time
ENG-Premier League,2022/23,Brentford,Ivan Toney,ENG,FW,26,1996,33,2951,89,86.3,32.8,33,89,29,0,,0,1.39,47,42,5,0.15,-1.19,2022,playing_time
ENG-Premier League,2022/23,Brentford,Josh Dasilva,ENG,MF,23,1998,36,1389,39,40.6,15.4,14,68,0,22,20,2,1.47,28,17,11,0.71,0.67,2022,playing_time
ENG-Premier League,2022/23,Brentford,Keane Lewis-Potter,ENG,FW,21,2001,10,321,32,9.4,3.6,3,61,0,7,20,9,1.5,10,4,6,1.68,1.51,2022,playing_time
ENG-Premier League,2022/23,Brentford,Kevin Schade,GER,FW,20,2001,18,732,41,21.4,8.1,7,75,1,11,19,2,1.72,11,7,4,0.49,0.22,2022,playing_time
ENG-Premier League,2022/23,Brentford,Kristoffer Ajer,NOR,DF,24,1998,9,763,85,22.3,8.5,9,85,6,0,,10,1.11,7,14,-7,-0.83,-1.47,2022,playing_time
ENG-Premier League,2022/23,Brentford,Mads Bech Sørensen,DEN,DF,23,1999,4,21,5,0.6,0.2,0,,0,4,5,3,2.0,1,0,1,4.29,3.99,2022,playing_time
ENG-Premier League,2022/23,Brentford,Mads Roerslev,DEN,"MF,DF",23,1999,20,1108,55,32.4,12.3,12,85,10,8,11,15,2.1,20,12,8,0.65,0.49,2022,playing_time
ENG-Premier League,2022/23,Brentford,Mathias Jensen,DEN,MF,26,1996,37,2803,76,82.0,31.1,37,76,10,0,,0,1.51,45,40,5,0.16,-0.86,2022,playing_time
ENG-Premier League,2022/23,Brentford,Mathias Jørgensen,DEN,DF,32,1990,18,1103,61,32.3,12.3,11,85,9,7,24,15,1.83,17,15,2,0.16,-0.23,2022,playing_time
ENG-Premier League,2022/23,Brentford,Matthew Cox,ENG,GK,19,2003,0,,,,,0,,0,0,,21,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Brentford,Michael Olakigbe,ENG,MF,18,2004,0,,,,,0,,0,0,,1,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Brentford,Mikkel Damsgaard,DEN,"MF,FW",22,2000,26,988,38,28.9,11.0,9,66,0,17,23,9,1.5,19,14,5,0.46,0.2,2022,playing_time
ENG-Premier League,2022/23,Brentford,Pontus Jansson,SWE,DF,31,1991,12,724,60,21.2,8.0,9,79,7,3,5,3,1.33,17,14,3,0.37,0.07,2022,playing_time
ENG-Premier League,2022/23,Brentford,Rico Henry,JAM,"DF,MF",25,1997,37,3238,88,94.7,36.0,37,88,29,0,,0,1.51,53,46,7,0.19,-2.28,2022,playing_time
ENG-Premier League,2022/23,Brentford,Ryan Trevitt,ENG,MF,19,2003,0,,,,,0,,0,0,,6,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Brentford,Saman Ghoddos,IRN,"FW,MF",28,1993,15,139,9,4.1,1.5,0,,0,15,9,19,1.53,3,5,-2,-1.29,-1.68,2022,playing_time
ENG-Premier League,2022/23,Brentford,Sergi Canós,ESP,"FW,MF",25,1997,5,77,15,2.3,0.9,0,,0,5,15,7,1.6,0,2,-2,-2.34,-2.71,2022,playing_time
ENG-Premier League,2022/23,Brentford,Shandon Baptiste,GRN,MF,24,1998,23,618,27,18.1,6.9,4,68,0,19,18,5,1.35,12,6,6,0.87,0.68,2022,playing_time
ENG-Premier League,2022/23,Brentford,Thomas Strakosha,ALB,GK,27,1995,0,,,,,0,,0,0,,17,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Brentford,Tristan Crama,FRA,DF,20,2001,0,,,,,0,,0,0,,4,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Brentford,Vitaly Janelt,GER,MF,24,1998,35,2208,63,64.6,24.5,24,80,13,11,26,0,1.63,34,28,6,0.24,-0.2,2022,playing_time
ENG-Premier League,2022/23,Brentford,Yehor Yarmoliuk,UKR,MF,18,2004,0,,,,,0,,0,0,,3,,,,,,,2022,playing_time
ENG-Premier League,2022/23,Brentford,Yoane Wissa,COD,FW,25,1996,38,1606,42,47.0,17.8,16,75,1,22,19,0,1.55,30,17,13,0.73,0.78,2022,playing_time
ENG-Premier League,2022/23,Brighton,Adam Lallana,ENG,MF,34,1988,16,722,45,21.1,8.0,12,55,0,4,15,0,1.56,16,10,6,0.75,0.31,2022,playing_time
ENG-Premier League,2022/23,Brighton,Adam Webster,ENG,DF,27,1995,27,1985,74,58.0,22.1,23,85,17,4,7,4,1.74,41,27,14,0.63,0.32,2022,playing_time
ENG-Premier League,2022/23,Brighton,Alexis Mac Allister,ARG,MF,23,1998,35,2886,82,84.4,32.1,31,89,27,4,32,0,1.6,54,45,9,0.28,-1.4,2022,playing_time
ENG-Premier League,2022/23,Brighton,Andrew Moran,IRL,MF,18,2003,1,12,12,0.4,0.1,0,,0,1,12,12,3.0,0,1,-1,-7.5,-8.03,2022,playing_time
